#id	length	evalue	coverge	probability	score
contig_16:13189798..13196783#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	6.6e-30	100.0	0.99	97.8
contig_16:13565515..13570294#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	1.6e-27	100.0	0.99	89.2
contig_16:13565515..13570294#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	5.7e-29	100.0	0.99	93.7
contig_16:13565515..13570294#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	9.4e-87	100.0	1.0	283.3
contig_16:13565515..13570294#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	4.1e-117	100.0	0.99	383.6
contig_16:13565515..13570294#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	93	2e-32	66.9	0.97	105.4
contig_16:13647771..13653031#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	2.1e-28	100.0	0.98	91.9
contig_16:13647771..13653031#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	2.3e-28	100.0	1.0	92.0
contig_16:13647771..13653031#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	6e-83	100.0	0.98	270.9
contig_16:13647771..13653031#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	259	7.9e-128	100.0	1.0	418.6
contig_16:13647771..13653031#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	8e-64	100.0	1.0	206.8
contig_16:4969913..4973639#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	37	3.1e-07	36.6	0.95	24.1
contig_16:4969913..4973639#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	4.9e-101	100.0	1.0	329.9
contig_16:4969913..4973639#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.7e-131	100.0	0.99	430.8
contig_16:4969913..4973639#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	5.3e-63	100.0	1.0	204.2
contig_16:8140831..8145954#LTR/unknown|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	105	1.1e-49	73.7	0.97	161.0
contig_16:9318763..9324077#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	6.8e-62	100.0	1.0	200.6
contig_16:9318763..9324077#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	260	1.7e-132	100.0	1.0	433.9
contig_16:9318763..9324077#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	1e-92	100.0	0.99	302.8
contig_16:9318763..9324077#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	3.2e-33	100.0	1.0	107.5
contig_16:9318763..9324077#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	7.2e-30	100.0	0.99	96.6
contig_16:9392981..9399415#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	133	3.3e-80	100.0	1.0	259.8
contig_16:9392981..9399415#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RT	263	3.4e-151	100.0	1.0	495.6
contig_16:9392981..9399415#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-INT	202	2.1e-111	100.0	0.99	364.0
contig_16:9392981..9399415#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	5.3e-36	98.6	0.99	115.8
contig_16:9392981..9399415#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-GAG	58	4.3e-24	57.8	0.96	78.5
contig_16:9648872..9654061#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	9e-30	100.0	0.99	96.3
contig_16:9648872..9654061#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.2e-31	100.0	1.0	102.5
contig_16:9648872..9654061#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	6.2e-98	100.0	1.0	319.8
contig_16:9648872..9654061#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	259	5.5e-128	100.0	0.99	419.1
contig_16:9648872..9654061#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	1.3e-61	100.0	0.99	199.6
contig_38:1079872..1090437#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	9.5e-55	99.2	0.99	178.0
contig_38:1079872..1090437#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	2.9e-32	100.0	0.99	104.3
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	117	3.4e-30	100.0	0.99	98.7
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	60	2.3e-08	64.9	0.96	27.9
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.7e-93	100.0	1.0	304.8
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	114	3.7e-36	73.1	0.96	118.2
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	1.1e-144	100.0	0.99	474.6
contig_38:194334..200004#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	2.3e-19	97.4	0.92	63.2
contig_38:295310..300510#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	84	1.8e-31	61.1	0.96	102.2
contig_38:295310..300510#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-RT	260	3e-129	98.8	0.99	423.2
contig_38:295310..300510#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-INT	198	1.3e-88	100.0	0.98	289.4
contig_38:295310..300510#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	3.9e-27	100.0	1.0	88.1
contig_38:295310..300510#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	1.6e-26	100.0	0.99	85.8
contig_40:248736..259283#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.3e-55	99.2	0.99	180.8
contig_40:248736..259283#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	2.8e-32	100.0	0.99	104.4
contig_41:1293130..1304096#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	2.7e-32	100.0	0.99	104.4
contig_41:1293130..1304096#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.2e-55	99.2	0.99	180.8
contig_41:1402298..1413641#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.4e-57	100.0	0.99	187.1
contig_41:1402298..1413641#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	3.3e-28	100.0	0.99	91.3
contig_41:1419719..1430268#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	2.6e-32	100.0	0.99	104.5
contig_41:1419719..1430268#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	3e-54	99.2	0.99	176.3
contig_41:1671796..1682762#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.2e-55	99.2	0.99	180.8
contig_41:1671796..1682762#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	2.6e-32	100.0	0.99	104.4
contig_41:2230996..2242338#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	3.3e-28	100.0	0.99	91.3
contig_41:2230996..2242338#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	7.5e-56	100.0	0.99	181.5
contig_41:353614..364958#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	3.2e-28	100.0	0.99	91.4
contig_41:353614..364958#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.3e-57	100.0	0.99	187.2
contig_41:530869..540274#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	301	8.4e-113	92.3	0.97	370.5
contig_41:530869..540274#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-aRH	109	1.8e-37	100.0	0.99	121.8
contig_41:530869..540274#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	145	1e-55	81.0	0.96	181.7
contig_41:530869..540274#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	76	2.2e-23	100.0	0.98	76.4
contig_41:530869..540274#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	61	8.7e-10	45.9	0.95	32.4
contig_41:556656..567620#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	2.2e-30	99.2	0.97	98.9
contig_41:556656..567620#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	76	1.8e-22	100.0	0.97	73.4
contig_41:556656..567620#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	120	5.9e-61	62.1	0.97	198.8
contig_41:556656..567620#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	53	1.2e-53	21.1	0.94	175.9
contig_41:556656..567620#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	312	2.6e-119	98.4	0.94	391.9
contig_41:709246..720385#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	3.9e-28	100.0	0.99	91.1
contig_41:709246..720385#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.2e-57	100.0	0.99	187.3
contig_41:738687..750259#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-INT	313	2.3e-173	100.0	1.0	569.3
contig_41:738687..750259#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RH	149	1e-77	100.0	1.0	252.9
contig_41:738687..750259#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RT	192	4.2e-116	100.0	1.0	379.1
contig_41:738687..750259#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	1.6e-31	100.0	0.99	102.0
contig_41:738687..750259#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	7.5e-57	100.0	0.99	184.7
contig_41:794069..805424#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.3e-57	100.0	0.99	187.2
contig_41:794069..805424#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	3.3e-28	100.0	0.99	91.3
contig_42:12772267..12776785#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	9.6e-14	100.0	0.95	45.3
contig_42:12772267..12776785#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	3.7e-28	100.0	0.99	91.6
contig_42:12772267..12776785#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.2e-70	100.0	0.97	230.7
contig_42:12772267..12776785#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	257	1.3e-110	100.0	0.98	362.2
contig_42:12772267..12776785#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.4e-54	100.0	0.97	176.0
contig_42:12772270..12776779#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	9.6e-14	100.0	0.95	45.4
contig_42:12772270..12776779#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	3.7e-28	100.0	0.99	91.6
contig_42:12772270..12776779#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.2e-70	100.0	0.97	230.8
contig_42:12772270..12776779#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	257	1.3e-110	100.0	0.98	362.2
contig_42:12772270..12776779#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	3.4e-54	100.0	0.97	176.0
contig_42:135261..137882#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	119	2.6e-25	100.0	0.95	83.0
contig_42:1416716..1420004#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	6.9e-51	100.0	0.98	165.3
contig_42:1416716..1420004#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	5.3e-98	100.0	0.98	320.9
contig_42:1613118..1618103#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	107	6.9e-18	98.9	0.9	58.6
contig_42:1613118..1618103#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	1.8e-15	100.0	0.97	50.9
contig_42:1613118..1618103#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	3.3e-77	100.0	0.95	252.2
contig_42:1613118..1618103#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	136	5.6e-54	52.5	0.96	176.6
contig_42:1613118..1618103#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	7.9e-58	100.0	1.0	187.7
contig_42:2032871..2040109#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	93	7.3e-32	100.0	0.99	103.3
contig_42:2032871..2040109#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	68	7.4e-26	100.0	1.0	84.0
contig_42:2032871..2040109#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	197	3.3e-88	94.5	0.99	288.1
contig_42:2032871..2040109#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RH	88	4.3e-33	62.7	0.93	107.6
contig_42:2344733..2350187#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	2.4e-61	100.0	1.0	199.1
contig_42:2344733..2350187#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	260	1.1e-108	100.0	0.97	355.8
contig_42:2344733..2350187#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	191	7.9e-69	98.5	0.96	224.8
contig_42:2344733..2350187#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	68	3.9e-24	100.0	0.98	78.7
contig_42:2344733..2350187#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	107	8.2e-20	100.0	0.89	64.8
